my_sentence,labels
"He introduces the mantelpiece (0:36), indicating loops 164 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",None
"2016 there three, in fact (0:37 -0:39).",learning sign language
"He tells of red (0:40) stock ings three, again (0:41 -0:42) with white (0:43) cuffs on top (0:44-0:46).",stories
"The three loops set us up for the three stockings, which sets us up for the three cuffs.",stories
"I n each case the first, second, and third insta nce o f a sign is given in consecutive location points along a spatial line, moving from signers left to right.",learning sign language
T he reader is primed by the first instance t o mimic the second and third .,stories
We find this same re petition of threes in the clip corresponding to the text line The children were nestled all snug in their beds (0:55 -1:04).,stories
"Here we are told about three beds with a child in each, again along that spatial line from left to right.",stories
And threes come up in the video corresponding to the t ext line: While visions of sugar -plums danced in their heads (1:05 -1:15).,learning sign language
"The signer introduces CANDY (1:07), follo wed by pointing at three spots high in the air (1:08), COOKIES (1:09), foll owed by pointing to those spots again (1:10), and finally SUGAR P -L-U-M-S2(1:11 -1:12), foll owed by pointing to the spots (1:13).",learning sign language
"So there ar e three similar objects, with three pointings in space after each .",stories
This instance of three s introduces information not in the text or the illustrations (candy and cookies) in order t o do important vocabulary work .,learning sign language
Candy and cookies are familiar sweets.,stories
But sugar plums are unfamiliar .,stories
The signer deftly teaches the child what sugar plums are withou t being pedant ic.,learning sign language
"This inferential learning is implicit at the particular level ( two sweets follo wed by a third item , so it must also be a sweet) and at the general level ( two similar thing s followed by an unknown , so it must be similar to the others ).",learning sign language
"Groups of three are likewise repeated in the clip already cited above, 4:33-4:44, as we see Santa fill each of the stockings hanging from the chimney.",stories
"Phonetic repetit ions occur often in the signed story, as do full sign repetitions, including ALL-AROUND (0:16 and 0:57), HOUSE (0:15, 0:56, 2:38), FAMILY (0:32 and 0:58).",stories
S ometimes the s igner marks clips as semant ically parallel by ending t hem with the same sign.,learning sign language
"O f the four clips corresponding to the four lines below, all but the third ends with the sign FALL -ASLEEP : 0:55-1:04 The children were nestled all snug in their beds 1:05-1:15 while visions of sugar plums danced in their heads 1:16-1:22 And Mama in her 'kerchief, and I in my cap 1:23-1:30 had just settled our brains for a long winter's nap 2 We adopt the usual convention of using hyphens between letters to indicate fingerspelling.",learning sign language
"165 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
2016 But the most striking repetition is of sequences.,stories
"The signer often rem inds us he is Santa, and he drives reindeers (1:55 -1:57, 2:02 -2:04, 2:12 -2:13, 2:34 -2:35, 5:06-5:07).",learning sign language
The story ends perfectly with Santa driving that sleigh a final time ( one quick move and a hold in 5:20).,stories
Transparency of literary techniques Sophisticated literary techniques can become transparent in signing .,stories
"M uch of signing involves iconicity (P ERNISS , THOMPSON , & V IGLIOCCO , 2010), analogy (S UTTON -SPENCE , & NAPOLI , 2013), and metaphor (T AUB , 2001) , and the signing in this ebook is no exception .",learning sign language
"A text simile is rendered by a sign simile with explicit LIKE in the second clip here: 3:55-4:00 The stump of a pipe he held tight in his teeth, and the smoke it encircled .. 4:01-4:07 .",learning sign language
his head like a wreath .,stories
.MY ALL -AROUND -FACE EDGES -OF-HEAD LIKE CHRISTMAS W-R-E-A-T-H We see another text simile handled by simple sign juxtaposition (perhaps a metaphor) in: and the beard on his chin was as white as the snow (3:51 -3:54).,learning sign language
"The signer introduces a graphic metaphor in the clip corresponding to this line: The children were nestled all snug in their beds, (0:55 -1:04).",learning sign language
"W e see the children in bed , then the signer tightens his fingers aroun d the last child (1:02), as a metaphor for snugness.",learning sign language
Our signer is clearly helping the child become comfortable with similes and metaphors.,learning sign language
Attention as a key to l iteracy .,identities of deaf
"In order for these techniques to work, the child must pay attention .",learning sign language
Eyegaze is important here.,learning sign language
"Further, one might expect child -directed signing to play a role.",learning sign language
"But w hile our signer uses eyegaze instructively , he does not use child -directed sign.",learning sign language
Eyegaze .,learning sign language
"Joint attention is defined as an observer following the eyegaze of an interactant to a target (C ORKUM , & MOORE , 1995).",learning sign language
"It is important for a successful SRA, particularly for deaf children (S WANWICK , & WATSON , 2007) or children with language -related special needs (K ADERAVEK , &JUSTICE , 2002).",identities of deaf
"Discussions of joint attention usually concern live 166 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",identities of deaf
2016 interactions.,stories
"However, addressee s visually attend to a video narrators gestures if the narrator holds a gesture or gazes at her own gesture (G ULLBERG , & H OLMQVIST , 2006).",learning sign language
"Also, deaf preschoolers learn ASL from interacting with a screen character (H UANG , et al., 2008) , and show improved literacy -related engagement behaviors after watching educ ational sign videos (GOLOS, 2010), both of which results presume joint attention.",learning sign language
"A t least six types of eyegaze identified in sign literature (KANEKO , & MESCH , 2013) potentially foster/scaffold joint attention , and all are used by our signers : (1) narrators gaze at the audience.",learning sign language
Our signer opens with this and uses it often.,learning sign language
(2) characters gaze.,stories
An example is when Santa looks around the house (0:57).,stories
(3) spotl ight gaze on hand(s).,learning sign language
The signer alternates between narrators and spotlight gaze as he describes the stockings (0:29 -0:46).,learning sign language
"(4) reactive gaze on hands, showing how the signer feels toward what the hands tell .",learning sign language
This is in the two clip s about what the narrator see s when he opens the window (1:39 -1:47) and discovers a miniature sleight and ei ght reindeers (1:48 -1:57 the reactive gaze ends at 1:55).,stories
"(5) panoptic gaze , where the eyes add information to manual signs .",learning sign language
"When the narrator hears hoof beats on the roof, his eyes go upward and right , indicat ing the sounds source ( 3:01).",stories
"(6) prescient gaze , indicating future action by anticipatory looking.",stories
We find it in the clip corresponding to And away they all f lew like the down of a thistle (5:00 -5:04).,stories
"At the end, the signer raises his eyes, and at the beginning of the next clip, he rides off in his sleigh.",learning sign language
"Thus the signers eyes establish joint attention by looking directly at the camera, inviting the reader to return direct gaze , and by looking at a target, pulling the readers eyes toward it .",learning sign language
Child -directed signing .,learning sign language
"Some have argued that child -directed speech (with exagger ated prosody ) helps small children learn words ( mean age of 30 months; see GOLINKOFF , et al.",learning sign language
", 1992).",learning sign language
"Further, exaggerated pitch differences in child -directed speech help preschool ers interpret others emotions ( QUAM , & S WINGLEY , 2012).",learning sign language
"S o we might expect child -directed signing (again, studied mostly with respect to preschoolers) during SRAs to h elp children gain vocabulary and better understand characters emotions in stories .",learning sign language
"Child -directed signing by deaf parents uses larger, slower, more repetitious signing (that is, with lexical -internal repetition) , as well as signing on the childs body or displacement of signs to within the childs visual field (HOLZRICHTER , & M EIER , 2000 ) all of which help direct the childs attention to the language act.",learning sign language
In this ebook many signs are large and slow .,learning sign language
"167 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 However, the size and rate of signing correspond to narrative structure , not visual salience of individual signs.",learning sign language
"In general, our signer places ve rbs toward the end of a clip, a nd often they are larger and slower .",learning sign language
"But nothing about his signing suggests it is child -directed, not the type of repetitions nor the lexical items used (and see H OLZRICHTER ,& M EIER , 2000 ).Instead, our signer helps develop vocabulary by using signs in isolation or in brief utterances as well as stressing signs (by lengthened duration and increased size (DE TEMPLE , & SNOW , 2003, p. 18).",learning sign language
"But he keeps in mind pleasure for b oth child and adult; o n an adult reader, child -directed language soon wears thin.",stories
So the lack of child -directed language was an aesthetic judgment on our signers part .,learning sign language
These ebooks are not intended for the child to use alone (althou gh they can be ).,learning sign language
"They are intended for child and adult together, so they must attract both .",stories
"Only then will both eagerly reach for them , and only then will we find the kind of language interaction we seek to encourage.",learning sign language
"Use of th e ebooks at home and at school Thus far, we have underscored the childs enjoyment and shown through examination of one of our ebook show they offer help in implicit development o f sign literacy skills and preparation for print literacy skills .",learning sign language
But w hat is the role of the adult in the SRA ?,identities of deaf
"Many continue to propose that hearing parents need to be taught how to engage with their deaf children in SRAs , even SRAs that use bimodal -bilingual ebooks (DIRKS , & W AUTERS , 2015).",learning sign language
"We repeat our reasons for bein g skeptical: following guidelines may result in joyless lessons which stress the adult, and, hence, the child .",learning sign language
"If both parent and child are to want to repeat SRAs, both must enjoy it.",learning sign language
Weve selected the source books for our ebooks with both parent and ch ild in mind.,stories
And our signers use signing that should be pleasing to both child and adult (they have a voided child -directed signing).,learning sign language
"We suggest, then, that parent and child can share these ebooks in whatever way they want.",stories
The parent might simply read the text while the child looks at the videos.,learning sign language
The parent might point to illustrations and try to guess what part of the signing is describing the visuals that the illustrations are providing (such as the children snug in bed i n the Santa story) and then ask the child to make further guesses (perhaps about the loops of decorations on the mantelpiece).,learning sign language
The parent might imitate the actions in the story acting them out like a mime and invite the child to do the same.,stories
The pare nt could copy the signer and encourage the child to do the same.,learning sign language
"168 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 As signing knowledge grows, the parent and child could have conversations in sign about the story, and then about whats going to happen in their home on the next holiday, and then about whatever else they want.",learning sign language
"That is, interaction may be minimal or it may be prolonged and complex.",learning sign language
"So long as both parent and child are enjoying themselves, repeated sharings of the ebooks will almost assuredly result in improved signing skills for both, and in increased language interaction over the books, which cannot help but develop better understanding of narrative and characterization.",learning sign language
"That is, we hope that these unscripted and joyful SRAs will be as fruitful for the emergent deaf reader as unscripted and joyful SRAs are for the emergent h earing reader.",learning sign language
"And at the very least , parent and child will have fun together.",learning sign language
"Teachers of deaf children can help parents of deaf children by recommending these SRAs, and explicitly telling parents that there is no on e right way to use them.",learning sign language
They can give parents license to simply enjoy sharing a story with their child instead of constantly worrying about what their child is learning.,stories
"Likewise, these ebooks can be shared in classrooms .",stories
"While everyone knows that presc hoolers need SRAs ( even pediatricians recommend them; DUURSMA , AUGUSTYN , & ZUCKERMAN , 2008), elementary school children do, as well (G AMBRELL , 2011).",learning sign language
The classroom teacher must find the time in the school day to simpl y read with the children for pure pleasure .,learning sign language
"These ebooks offer that, with the superb side benefit s of exposure to a sign language and another culture , and the opportunity to discuss Deaf Culture and variations within the deaf community .",stories
"The ebooks can be shared the same way ordinary pictu re books are shared at circle time, not just by teachers who have been trained to work with deaf children, but by any teacher, with any set of children.",learning sign language
"Deaf and hearin g children, alike, can enjoy the signing , simply watching it and talking about what they see.",learning sign language
"They can note the different shapes the hands can assume, the space the hands move around in, the ways the different parts of the face move.",learning sign language
"They can be encouraged to make up signs for objects that lend themselves to transparent visual represen tations like book, glass, tree, house then the teacher can look up the real signs in an online dictionary and the whole class can compare their made up signs to the real signs.",learning sign language
They can have fun imagining occasions in which it would be a huge benefit to be able to communicate with someone silently.,learning sign language
"If theres strong interest in a particular story, a follow -up activity might be acting out that story and, gradually, moving more a nd more toward signing it .",learning sign language
"169 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
2016 Deaf and hearing children can be encour aged to check out the books for sharing at home and can be challenged with learning to sign a page or more or with explaining the signing to their parents.,learning sign language
Table 1 outlines s ome of the ways the ebooks can support a mainstreamed classroom.,stories
Table 1 - Strategies for Using Bilingual -Bimodal Ebooks in the Classroom Introducing a new topic: Literature that relates thematically to a lesson can serve to acquaint a deaf student with the topic at hand.,learning sign language
"Supporting deaf identity: The deaf child who learns to sign the story in an ebook can teach the whole class, showing that ASL is a real language.",identities of deaf
Supporting independent reading: Literature in sign might soothe feelings of frustration and fatigue common among deaf children in a hearing environment.,learning sign language
Supporting the deaf child who has vocalization skills: The ebooks have a voiceover.,Caring for the Deaf Patient
So those children who would like to practice their speech skills can benefit.,learning sign language
Using sign version as preview: Deaf students can read the ebook on their own (perhaps at home) ahead of circle time in order to understand its content.,learning sign language
"Using sign version as review: After a book has been shared in circle time, deaf students can read it on their own to further their understanding.",learning sign language
Comparing sign and text versions for self-assessment: All students can find out how much English or ASL they are learning by counting the words and signs they understand before and after the book is shared in circle time.,learning sign language
Learning about iconicity: All students can make up signs for things an d then compare them to the real signs in the stories.,learning sign language
"Improving home -school connections : Ebooks allow deaf family members active involvement in their childs education, whether the child is deaf or hearing, even if their English skills are limited.",learning sign language
De af parents can be invited to class to sign with the children.,learning sign language
"Weekend workshops on signing might be made available, with transportation costs covered by the school.",learning sign language
Supporting family literacy programs: Assisting parents of deaf students in locating ebook s is a great way to start a family literacy program.,identities of deaf
Raising awareness of multiculturalism: Ebooks can raise all childrens awareness through exposure to different languages and cultures.,stories
Helping teachers and students learn another language: Ebooks can help teachers and all children learn some sign.,learning sign language
"All children can be encouraged to bring the ebooks home to share with their families, so the children can practice signing at home.",learning sign language
"170 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
2016 Encouraging reading for pleasure: Our ebooks involve no stress.,stories
No one sh ould be tested on them.,learning sign language
They are purely for fun.,stories
"Supporting students with other language -related issues Ebooks offer an augmentative communication system for children who have language -related issues, such as autism.",learning sign language
"Conclusion Our signers naturally employ techniques that make it easy for readers to understand, mimic, and retel l stories in their own way.",learning sign language
"When we tested the ebooks at schools for the deaf, in fall 2013 and 2014, we found several behaviors among the children.",stories
"(1) T hey mimic the videos as they wat ch them repeatedly, even as of the second viewing.",learning sign language
"(2) In retelling , they vary the stories , exaggerating to show feelings or personal interests .",stories
"(3) T hey tell the child next to them what the story is about, p reparing them for it.",stories
"(4) They retell the ebooks together, as a gam e; one will elaborate on the others sentence .",learning sign language
(5) Throughout these behaviors they use higher level facilitative language techniques (such as asking open -ended questions and building off each others elaborations of the story) .,stories
"These five charact eristics are typical of effecti ve SRAs (W HITEHURST , & ZEVENBERGEN , 2003).",learning sign language
"Additionally, we found the following two behaviors: (6) They play with signs and tra nsform them , claiming language ownership (B AHAN , 2006).",learning sign language
(7) They appropriate the ebooks ; they do not want teacher s to explain them .,learning sign language
"Instead, they explain them to teachers.",learning sign language
"They are delighted these ebooks belong to them, as deaf people .",fiction books
"Their t eachers also love the videos, and a re ha ppy to see the children in discussion about stories .",stories
We also tested the ebooks in home s in fall 2014.,stories
"Children and parents were eager to share them repeate dly, except one group: h earing p arents of deaf children .",stories
"They were of the mindset that signin g was not needed ; their children had cochlear implants and were preschoolers; the parents were not (yet) discouraged about their likelihood of academic success with speech 171 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",hearing implantation
2016 only.,None
"We also suspect they had been discouraged by medical professionals from signin g with their children a common experience (H UMPHRIES et al., 2012), and one we hope will change in the wake of a Pediatrics article recommending signing for all deaf children (NAPOLI , et al., 2015).",learning sign language
"While w e have applied for funding for a longitudinal study, our preliminary results are so promising, we hope others will not wait fo r formal results but use our ebooks now.",learning sign language
We urge those involved in educating small deaf children to turn the focus toward fun.,learning sign language
Parents look to teachers for guidance.,learning sign language
Please encourage them to play with the ebooks and enjoy SRAs with their children.,stories
"Deaf children certainly need pedagogical ebooks, but they also need ebooks that are simply f un; deaf children and their parents have a right to such an anxiety -free experience.",stories
More information about our ebooks can be found in this site : http://www.gallaudet.edu/american_sign_language_and_deaf_studies/bilingual_ebooks.html Resumo Os e-books oferecem novas formas de desenvolve r o letramento entre as crianas surdas.,learning sign language
"Enquanto algu ns objetivam promover o letramento por meio de tcnicas pedaggicas, os novos e-books , aqui descritos , tm como objetiv o oferecer apenas histrias divertidas para serem compartilhadas, encorajando a aprendizagem por meio da interao , que naturalmente estimula habilidades da linguagem , dando incio a o letramento de crianas surdas.",learning sign language
"Apresentamos a proposta destes e-books e damos exemplos de como eles promovem habilidades para o letramento, no sentido de criar e educar as crianas surdas para o uso des ses materiais, oferecidos gratuitamente na internet.",learning sign language
"Palavras -chave: crianas surdas, letramento, e -books, atividades de leitura compartilhada .",deaf
Resumen Los libros electrnicos ofrecen formas nuevas de desarrollar el letramento entre los nios sordos.,identities of deaf
"Mientras algunos tienen el objetivo de promover el letramento a travs de tcnicas pedaggicas, los nuevos libros electrnico s, aqu descritos, tienen el objetivo de ofrecer solamente cuentos divertidos para ser compartidos, incentivando el aprendizaje a travs de la interaccin, accin que naturalmente estimular las habilidades del lenguaje, iniciando el letramento entre nios sordos.",learning sign language
"Presentamos una propuesta para esos libros electrnicos y damos ejemplos de cmo ellos promueven las habilidades de letramento , en el sentido de criar y educar a los nios sordos para el uso de materiales, ofrecidos gratuitamente en internet.",Caring for the Deaf Patient
"Palabras -clave: nios sordos , letramento , libros electrnicos , actividades de lectura compartida.",identities of deaf
"172 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 Referenc es ALEXANDER, S. A., FROHLICH, K.L, & FUSCO , C. Active play may be lots of fun, but it's certainly not frivolous : the emergence of active play as a health practice in Canadian public health.",Caring for the Deaf Patient
"Sociology of Health & Illness 36, 2014. p. 1188 -1204.",identities of deaf
"ANDERSON, R. C., HIEBERT, E.H., SCOTT, J.A., & WILKINSON , I.A.",stories
"G. Becoming a nation of readers : the r eport of the Commission on Reading, U. S. Department of Education.",learning sign language
"Champaign -Urbana, IL: Center for the Study of Reading, 1985.",stories
"BAHAN, B .",identities of deaf
Face -to-face tradition in the American deaf c ommunity.,identities of deaf
"In : Bauman, H -D., Rose, H., & Nelson, J.",Caring for the Deaf Patient
( eds.).,identities of deaf
"Signing the body poetic , p. 21-50.",learning sign language
Berkeley: University of California Press.,identities of deaf
2006.,None
"BASCOM , W. Four functions of folklore.",None
"In : Dundes , A.",None
"(e d.).The study of f olklore , p. 279 -298.",stories
"Englewood C liffs: Prentice -Hall, 1965.",None
"BASHA, T .",None
"Signed language proficiency and writing skill of deaf children in special and integrated primary schools in Addis Ababa .Turkish International Journal of Special Education and Guidance & Counselling (TIJSEG) ISSN: 1300 -7432 3,2014. p. 1-48.",identities of deaf
"BECK, S., & OLAH, L .",None
Perspect ives on language and literacy: b eyond the here and now .,identities of deaf
New York: Harvard Education al Review Reprint Series No.,stories
"35, 2001.",None
"BIALOSTOK, S .",identities of deaf
Raising readers: h elping your child to literacy .,stories
"Winnepeg: Peguis Publishers Limited , 1992.",None
"BLONDEL, M., & MILLE R, C. Rhythmic structures in French Sign Language (LSF) nursery rhymes .",learning sign language
"Sign Language and Linguistics , 3, 2000. p. 59-77.",learning sign language
"BLONDEL, M., & MILLER , C. Movement and rhythm in nursery rhymes in LSF .",stories
"Sign Language Studies , 2, 2001. p. 24-61.",learning sign language
"CALDERON, R .",None
(2000).,stories
"Parental involvement in deaf childrens education programs as a predictor of childs language, early -reading, and social -emotional development .",Caring for the Deaf Patient
"Journal of Deaf Studies and Deaf Education , 5, 2000. p. 140 -155. doi: 10.1093/deafed/5.2.140 CHALHOUB -DEVILLE, M .",stories
Second language interaction: c urrent perspectives and future trends .,learning sign language
"Language Testing , 20, 2003. p. 369-383.",stories
"CHAMBERS, C. G., TANENHAUS, M.K., EBERHARD, K.M., FILIP, H., & CARLSON , G.N.",identities of deaf
Circumscribing referential domains during real -time language comprehension .,stories
"Journal of Memory and Language , 47, 2002. p. 30-49.",stories
"173 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 CORRI GAN, R .",None
Use of repetition to facilitate spontaneous language acquisition .,learning sign language
"Journal of Psycholinguistic Research , 9, 1980. p. 231-241.",stories
"CORKUM, V., & MOORE , C. Development of joint v isual attention in infants .",identities of deaf
"In: Moore, C., &Philip J. D. (eds).",identities of deaf
"Joint attention : its origins and role in development , p. 61-83.",learning sign language
"Hillsdale, NJ : Lawrence Erlbaum Associates, Inc., 1995.",None
"DE TEMPLE, J., & SNOW , C.E.",None
Learning words from books.,learning sign language
"In: Van Kleeck, A. , Stahl, S. A., & Bauer, E.B.",identities of deaf
(eds.).,identities of deaf
"On reading books to children : parents and teachers , p. 16-36.",stories
"East Sussex, UK: Psychology Press, 2003.",None
"DECKNER, D., ADAMSON, L., & BAKEMAN , R. Child and maternal co ntributions to shared reading: e ffects on language and literacy developmen t. Journal of Applied Developmental Psychology , 27,2006. p. 31-41.",Caring for the Deaf Patient
"DENNIS, L. R., LYNCH, S.A., & STOCKALL , N. Planning literacy environments for diverse preschoolers .",stories
"Young Exceptional Children ,15, 2012 .",None
DOI:1096250612437745.,stories
"DICKINSON, D., MCCAB E, A., & ESSEX, M .",stories
A window of opportunity we must open to all: The case for preschool with high -quality support for language and literacy.,learning sign language
"In : Dickinson , D., &Neuman , S. (e ds.).",identities of deaf
"Handbook of early literacy research : Volume 2 , p. 1128.",stories
"New York: The Guilford Press, 2006.",Caring for the Deaf Patient
"DIRKS, E., & WAUTERS , L. Enhancing emergent literacy in preschool deaf and hard -of-hearing children through interactive r eading.",learning sign language
"In: Knoors, H., & Marschark , M.",identities of deaf
(eds.).,identities of deaf
"Educating deaf learners : creating a global evidence b ase, p. 415-442.",identities of deaf
"Ne w York: O xford University Press, 2015.",stories
"DUURSMA, E. V., AUGU STYN, M., & ZUCKERMA N, B.",identities of deaf
Reading aloud to children : the evidence.,stories
"Archives of Disease in Childhood , 93, 2008. p. 554-557.",None
"EASTERBROOKS, S. R., LEDERBERG, A. R., ANTIA, S., SCHICK, B., KUSHALNAGAR, P., WEBB, M.Y., BRANUM -MARTIN, L., & CONNOR, C.M .",identities of deaf
"Readin g among diverse DHH learners: w hat, how, and for whom?",learning sign language
American Annals of the Deaf 159.,stories
2015. p. 419 -432.,identities of deaf
"EDWARDS, V., MONAGHA N, F., & KNIGHT, J .",identities of deaf
"Books, pictures and conversations: using bilingual multimedia storybooks to develop language awareness .",stories
"Language Awareness , 9, 2000. p. 135-146.",stories
"EDMISTON, B .",None
Forming ethical i dentities i n early childhood p lay.,identities of deaf
"New York : Routledge, 2007.",None
"EWOLDT, C .",identities of deaf
What does reading mean?,stories
"Perspectives for Teachers of the Hearing Impaired , 4, 1986. p. 1013.",Caring for the Deaf Patient
"174 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 FREEL, B., CLARK, M. , ANDERSON, M. , GILBERT, G., MUSYO KA, M., & HAUSER, P. Deaf individuals bilingual abilities: American Sign Language proficiency, reading skills, and family characteristics .",identities of deaf
"Psychology , 2, 2011. p. 18-23.",identities of deaf
"FUNG, P. C., CHOW, B.W.",identities of deaf
"Y., & MCBRIDE -CHANG, C.The impact of a dialogic reading program on deaf and hard -of-hearing kindergarten and early primary school -aged students in Hong Kong.",deaf
"Journal of Deaf Studies and Deaf Education , 10, 2005. p. 82-95.",stories
"GAMBRELL, L. B.",None
Seven rules of engagement: What's most important to know about motivation to read .,learning sign language
"The Reading Teacher , 65, 2011. p. 172 -178.",stories
"GELLER, L. G. Children's rhymes and literacy learning : making connections .",learning sign language
"Language Arts, 60,1983, p. 184-193.",stories
"GOLINKOFF, R. M., HIRSH -PASEK, K., BAILEY, L.M., & WENGER , N.R.",identities of deaf
Young children and adults use lexical principles to learn new nouns.,learning sign language
"Developmental Psychology , 28, 1992, p. 99-108.",None
"GOLOS, D .",identities of deaf
Literacy behaviors of deaf preschoolers during video viewing .,identities of deaf
"Sign Language Studies , 11, 2010. p. 76-99.",learning sign language
"GREENE BRABHAM, E., &LYNCH -BROWN , C. Effects of teachers' reading -aloud styles on vocabulary acquisition and comprehension of students in the early elementary grades .",None
"Journal of Educational Psychology , 94,2002. p. 465-473.",learning sign language
"GUATELLA , I.",None
Rhythm in speech: w hat rhythmic organizations reveal about cognitive processes in spontaneous speech production versus reading aloud .,stories
"Journal of Pragmatics , 31, 1999. p. 509-523.",identities of deaf
"GULLBERG, M., & HOLM QVIST, K .",None
What speakers d o and what addressees look at: visual attention to gestures in human interaction live and on video .,identities of deaf
"Pragmatics & Cognition , 14, 2006. p. 53-82.",stories
"HASSANZADEH, S .",None
Outcomes of cochlear implantation in deaf children of d eaf parents: comparative study.,hearing implantation
"Journal of Laryngology and Otology , 126, 2012.p.",None
989-994.,stories
"HOLZRICHTER, A. S., & MEIER , R.P.",identities of deaf
Child -directed signing in American Sign Language.,learning sign language
"In: Chamberlain, C. , Morford, J., & Mayberry, R.",stories
(eds.).,identities of deaf
"Language acquisition by eye , p. 25-40.Mahway, NJ: Lawrence Erlbaum Associates, Inc ., 2000.",learning sign language
"HUANG, K., SMI TH, J., SPREEN, K., & JONES, M. F. Breaking the sound barrier: d esigning an interactive tool for language acquisition in preschool deaf children.",learning sign language
"In : Cassell , J.",identities of deaf
(conference chair).,Caring for the Deaf Patient
"Proceedings of the 7th international conference on interaction design and children , p. 210-216.",stories
"New York: ACM Digital Library , 2008 .",stories
"175 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 HUMPHRIES, T., KUSHALNAGAR, P., MATHUR, G., NAPOLI, D.J., PADDEN, C., RATHMANN, C., & SMITH , S. Language acquisition for deaf children: r educing the harms of zero tolerance to the use of alternative approaches .",learning sign language
"Harm Reduction Journal , 9:16, 2012 .",stories
Available at: http://www.harmreductionjournal.com/content/9/1/1 6.,identities of deaf
"HUSS, M., VERNEY, J.P., FOSKER, T., MEAD, N., & GOSWAMI , U.",identities of deaf
"Music, rhythm, rise time perception and developmental dyslexia: perception of musical meter predicts reading and phonology.",stories
"Cortex , 47,2011. p. 674-689.",identities of deaf
"KADERAVEK, J., & JUSTICE , L.M.",None
"Shared storybook reading as an i ntervention : context , practices and potential p itfalls.",stories
"American Journal of Speech -Language Pathology , 11,2002. p. 395-406.",learning sign language
"KALIA, V .",identities of deaf
Assessing the role of book reading practices in Indian bilingual childrens English language and literacy development .,Improve your English
"Early Childhood Education Journal , 35,2007. p. 149-153.",learning sign language
"KANEKO, M .",None
Allite ration in sign language poetry.,learning sign language
"In: Roper, J.",None
(ed.).,Caring for the Deaf Patient
"Alliteration in c ulture , p. 23146.Basingstoke: Palgrave MacMillan, 2011.",stories
"KANEKO, M., & MESCH , J.",None
Eye gaze in creative sign language .,learning sign language
"Sign Language Studies , 13, 2013. p. 372-400.",learning sign language
"KRENTZ, C .",None
The camera as printi ng press: h ow film has influenced ASL literature.,stories
"In: Bauman, H-D., Rose, H., & Nelson, J.",None
(eds.).,identities of deaf
"Signing the body poetic , p. 51-70.",stories
"Berkeley: University of California Press, 2006.",None
"KUSCHNER, D. , Ed.",None
From children to red hatters: diverse images and issues of p lay.,identities of deaf
"Landham, MD: Universi ty Press of America, 2008.",stories
"LEDERBERG, A., SCHICK, B., & SPENCER , P.(2013 ).",identities of deaf
Language and literacy development of deaf and hard -of-hearing children: successes and challenges .,identities of deaf
"Developmental Psychology , 49, 2013. p. 15-30.",stories
"MALER, A .",None
Songs for hands: Analyzing interacti ons of sign language and music.,learning sign language
"Music Theory Online 19, 2013 .",None
Accessed 20 July 2016 .,stories
"http://www.mtosmt.org/issues/mto.13.19.1/mto.13.19.1.maler.html#kaneko_2011 MARTIN, P .Making happy people : the nature of happiness and its origins in childhood .",learning sign language
"London: Harper Collins UK , 2014.",fiction books
"MAYBERRY, R. I., DEL GIUDICE, A.A., & LIEBERMAN , A.M. Reading achievement in relation to phonological coding and awareness in deaf readers: a meta -analysis .",identities of deaf
"Journal of Deaf Studies and Deaf Education 16,2011. p. 164-188.",stories
"176 Revi sta Sinalizar, v.1, n.2, p. 152 -178, jul./dez.",stories
"2016 MAYER, C., & TREZEK , B.J.",identities of deaf
Early literacy development in deaf children .,identities of deaf
"Oxford: Oxford University Press , 2015.",None
"MAYER, C., & WELLS, G. Can the linguistic interdependence theory support a bilingual model of literacy education for deaf students?",stories
"Journal of Deaf Studies and Deaf Education , 1, 1996. p. 93107.",stories
"MOL, S. E., & BUS, A.G .",None
To read or not to read: a meta -analysis of print exposure from infancy to early adulthood .,stories
"Psychological Bulletin , 137, 2011. p. 267-296.",stories
"MOORE, M., & WADE, B .",None
Reading strategies : a compara tive study of ex -Reading Recovery students and peers.,stories
"Research in Education , 60,1998. p. 21-28.",stories
"MOUNTY, J. L., P UCCI, C.T., & HARMON , K.C.",identities of deaf
How deaf American Sign Language/ English bilingual child ren become proficient readers: a n emic perspective .,learning sign language
"Journal of Deaf Studies and Deaf Education , 19, 2014. p. 333-346.",identities of deaf
"MUELLER, V., & HURTI G, R .",None
Technology -enhanced shared reading with deaf and hard -of-hearing children : the role of a fluent signing narrator.,stories
"Journal of Deaf Studies and Deaf Education , 15, 2010.p.",identities of deaf
72-101.,learning sign language
